4.4798,5.12365,2.526643,4.761869,5.14199,2.661498,4.628312,4.696951,2.695014,4.621625,4.966486,2.696518,4.477355,5.083826,2.574881,4.748097,5.09842,2.672969
4.478882,5.123274,2.526447,4.762035,5.141926,2.661412,4.627895,4.696561,2.694726,4.621521,4.966478,2.696315,4.478596,5.084498,2.566582,4.748039,5.098505,2.673864
4.479004,5.123177,2.526409,4.762304,5.142089,2.661786,4.62805,4.696513,2.695152,4.621541,4.966506,2.696318,4.47881,5.083764,2.566585,4.748206,5.09831,2.673742
4.479124,5.123148,2.526454,4.762375,5.142145,2.661904,4.628076,4.696619,2.695209,4.621534,4.966545,2.696331,4.479097,5.08289,2.563941,4.748237,5.09825,2.673675
4.477505,5.124349,2.532522,4.762424,5.142262,2.662303,4.628117,4.696658,2.695249,4.621585,4.966485,2.69644,4.480274,5.082761,2.557643,4.748231,5.098299,2.673643
4.479031,5.123884,2.529879,4.762166,5.142106,2.661839,4.62821,4.696784,2.695094,4.621604,4.966483,2.696486,4.48062,5.082431,2.555896,4.748243,5.098545,2.673329
4.47961,5.123704,2.527593,4.76195,5.142012,2.661571,4.628242,4.696879,2.694863,4.621603,4.966483,2.696488,4.480715,5.082342,2.555494,4.74824,5.098627,2.673225
4.4798,5.12365,2.526643,4.761869,5.14199,2.661498,4.628312,4.696951,2.695014,4.621625,4.966486,2.696518,4.477355,5.083826,2.574881,4.748097,5.09842,2.672969
4.479867,5.123767,2.526022,4.761449,5.141482,2.661144,4.628322,4.696957,2.695004,4.621625,4.966488,2.69653,4.476485,5.084369,2.580451,4.747856,5.097873,2.673348
4.479004,5.123177,2.526409,4.762304,5.142089,2.661786,4.62805,4.696513,2.695152,4.621541,4.966506,2.696318,4.47881,5.083764,2.566585,4.748206,5.09831,2.673742
4.479124,5.123148,2.526454,4.762375,5.142145,2.661904,4.628076,4.696619,2.695209,4.621534,4.966545,2.696331,4.479097,5.08289,2.563941,4.748237,5.09825,2.673675
4.477505,5.124349,2.532522,4.762424,5.142262,2.662303,4.628117,4.696658,2.695249,4.621585,4.966485,2.69644,4.480274,5.082761,2.557643,4.748231,5.098299,2.673643
4.479031,5.123884,2.529879,4.762166,5.142106,2.661839,4.62821,4.696784,2.695094,4.621604,4.966483,2.696486,4.48062,5.082431,2.555896,4.748243,5.098545,2.673329
4.47961,5.123704,2.527593,4.76195,5.142012,2.661571,4.628242,4.696879,2.694863,4.621603,4.966483,2.696488,4.480715,5.082342,2.555494,4.74824,5.098627,2.673225
4.4798,5.12365,2.526643,4.761869,5.14199,2.661498,4.628312,4.696951,2.695014,4.621625,4.966486,2.696518,4.477355,5.083826,2.574881,4.748097,5.09842,2.672969
4.479867,5.123767,2.526022,4.761449,5.141482,2.661144,4.628322,4.696957,2.695004,4.621625,4.966488,2.69653,4.476485,5.084369,2.580451,4.747856,5.097873,2.673348
4.479275,5.124053,2.528323,4.760462,5.140346,2.660116,4.628323,4.696457,2.696292,4.621698,4.96648,2.69665,4.476275,5.086421,2.589772,4.747721,5.097665,2.67348
4.479124,5.123148,2.526454,4.762375,5.142145,2.661904,4.628076,4.696619,2.695209,4.621534,4.966545,2.696331,4.479097,5.08289,2.563941,4.748237,5.09825,2.673675
4.477505,5.124349,2.532522,4.762424,5.142262,2.662303,4.628117,4.696658,2.695249,4.621585,4.966485,2.69644,4.480274,5.082761,2.557643,4.748231,5.098299,2.673643
4.479031,5.123884,2.529879,4.762166,5.142106,2.661839,4.62821,4.696784,2.695094,4.621604,4.966483,2.696486,4.48062,5.082431,2.555896,4.748243,5.098545,2.673329
4.47961,5.123704,2.527593,4.76195,5.142012,2.661571,4.628242,4.696879,2.694863,4.621603,4.966483,2.696488,4.480715,5.082342,2.555494,4.74824,5.098627,2.673225
4.4798,5.12365,2.526643,4.761869,5.14199,2.661498,4.628312,4.696951,2.695014,4.621625,4.966486,2.696518,4.477355,5.083826,2.574881,4.748097,5.09842,2.672969
4.479867,5.123767,2.526022,4.761449,5.141482,2.661144,4.628322,4.696957,2.695004,4.621625,4.966488,2.69653,4.476485,5.084369,2.580451,4.747856,5.097873,2.673348
4.479275,5.124053,2.528323,4.760462,5.140346,2.660116,4.628323,4.696457,2.696292,4.621698,4.96648,2.69665,4.476275,5.086421,2.589772,4.747721,5.097665,2.67348
4.477605,5.124522,2.537349,4.76037,5.140171,2.659997,4.628394,4.696321,2.696775,4.621528,4.966457,2.696541,4.476802,5.08603,2.588307,4.747656,5.097588,2.673538
4.477505,5.124349,2.532522,4.762424,5.142262,2.662303,4.628117,4.696658,2.695249,4.621585,4.966485,2.69644,4.480274,5.082761,2.557643,4.748231,5.098299,2.673643
4.479031,5.123884,2.529879,4.762166,5.142106,2.661839,4.62821,4.696784,2.695094,4.621604,4.966483,2.696486,4.48062,5.082431,2.555896,4.748243,5.098545,2.673329
4.47961,5.123704,2.527593,4.76195,5.142012,2.661571,4.628242,4.696879,2.694863,4.621603,4.966483,2.696488,4.480715,5.082342,2.555494,4.74824,5.098627,2.673225
4.4798,5.12365,2.526643,4.761869,5.14199,2.661498,4.628312,4.696951,2.695014,4.621625,4.966486,2.696518,4.477355,5.083826,2.574881,4.748097,5.09842,2.672969
4.479867,5.123767,2.526022,4.761449,5.141482,2.661144,4.628322,4.696957,2.695004,4.621625,4.966488,2.69653,4.476485,5.084369,2.580451,4.747856,5.097873,2.673348
4.479275,5.124053,2.528323,4.760462,5.140346,2.660116,4.628323,4.696457,2.696292,4.621698,4.96648,2.69665,4.476275,5.086421,2.589772,4.747721,5.097665,2.67348
4.477605,5.124522,2.537349,4.76037,5.140171,2.659997,4.628394,4.696321,2.696775,4.621528,4.966457,2.696541,4.476802,5.08603,2.588307,4.747656,5.097588,2.673538
4.477295,5.12483,2.539035,4.760311,5.139615,2.659427,4.628499,4.696237,2.697206,4.621575,4.966457,2.696615,4.47899,5.085462,2.571581,4.747574,5.097443,2.673593
4.479031,5.123884,2.529879,4.762166,5.142106,2.661839,4.62821,4.696784,2.695094,4.621604,4.966483,2.696486,4.48062,5.082431,2.555896,4.748243,5.098545,2.673329
4.47961,5.123704,2.527593,4.76195,5.142012,2.661571,4.628242,4.696879,2.694863,4.621603,4.966483,2.696488,4.480715,5.082342,2.555494,4.74824,5.098627,2.673225
4.4798,5.12365,2.526643,4.761869,5.14199,2.661498,4.628312,4.696951,2.695014,4.621625,4.966486,2.696518,4.477355,5.083826,2.574881,4.748097,5.09842,2.672969
4.479867,5.123767,2.526022,4.761449,5.141482,2.661144,4.628322,4.696957,2.695004,4.621625,4.966488,2.69653,4.476485,5.084369,2.580451,4.747856,5.097873,2.673348
4.479275,5.124053,2.528323,4.760462,5.140346,2.660116,4.628323,4.696457,2.696292,4.621698,4.96648,2.69665,4.476275,5.086421,2.589772,4.747721,5.097665,2.67348
4.477605,5.124522,2.537349,4.76037,5.140171,2.659997,4.628394,4.696321,2.696775,4.621528,4.966457,2.696541,4.476802,5.08603,2.588307,4.747656,5.097588,2.673538
4.477295,5.12483,2.539035,4.760311,5.139615,2.659427,4.628499,4.696237,2.697206,4.621575,4.966457,2.696615,4.47899,5.085462,2.571581,4.747574,5.097443,2.673593
4.477178,5.124993,2.539564,4.760256,5.139401,2.65938,4.628606,4.696257,2.697772,4.621672,4.966478,2.696971,4.473903,5.086295,2.625503,4.747584,5.097377,2.673655
4.47961,5.123704,2.527593,4.76195,5.142012,2.661571,4.628242,4.696879,2.694863,4.621603,4.966483,2.696488,4.480715,5.082342,2.555494,4.74824,5.098627,2.673225
4.4798,5.12365,2.526643,4.761869,5.14199,2.661498,4.628312,4.696951,2.695014,4.621625,4.966486,2.696518,4.477355,5.083826,2.574881,4.748097,5.09842,2.672969
4.479867,5.123767,2.526022,4.761449,5.141482,2.661144,4.628322,4.696957,2.695004,4.621625,4.966488,2.69653,4.476485,5.084369,2.580451,4.747856,5.097873,2.673348
4.479275,5.124053,2.528323,4.760462,5.140346,2.660116,4.628323,4.696457,2.696292,4.621698,4.96648,2.69665,4.476275,5.086421,2.589772,4.747721,5.097665,2.67348
4.477605,5.124522,2.537349,4.76037,5.140171,2.659997,4.628394,4.696321,2.696775,4.621528,4.966457,2.696541,4.476802,5.08603,2.588307,4.747656,5.097588,2.673538
4.477295,5.12483,2.539035,4.760311,5.139615,2.659427,4.628499,4.696237,2.697206,4.621575,4.966457,2.696615,4.47899,5.085462,2.571581,4.747574,5.097443,2.673593
4.477178,5.124993,2.539564,4.760256,5.139401,2.65938,4.628606,4.696257,2.697772,4.621672,4.966478,2.696971,4.473903,5.086295,2.625503,4.747584,5.097377,2.673655
4.476669,5.125334,2.542799,4.759943,5.13908,2.659509,4.628688,4.696217,2.698242,4.621758,4.966498,2.697186,4.480952,5.086962,2.568118,4.747661,5.097083,2.674167
4.4798,5.12365,2.526643,4.761869,5.14199,2.661498,4.628312,4.696951,2.695014,4.621625,4.966486,2.696518,4.477355,5.083826,2.574881,4.748097,5.09842,2.672969
4.479867,5.123767,2.526022,4.761449,5.141482,2.661144,4.628322,4.696957,2.695004,4.621625,4.966488,2.69653,4.476485,5.084369,2.580451,4.747856,5.097873,2.673348
4.479275,5.124053,2.528323,4.760462,5.140346,2.660116,4.628323,4.696457,2.696292,4.621698,4.96648,2.69665,4.476275,5.086421,2.589772,4.747721,5.097665,2.67348
4.477605,5.124522,2.537349,4.76037,5.140171,2.659997,4.628394,4.696321,2.696775,4.621528,4.966457,2.696541,4.476802,5.08603,2.588307,4.747656,5.097588,2.673538
4.477295,5.12483,2.539035,4.760311,5.139615,2.659427,4.628499,4.696237,2.697206,4.621575,4.966457,2.696615,4.47899,5.085462,2.571581,4.747574,5.097443,2.673593
4.477178,5.124993,2.539564,4.760256,5.139401,2.65938,4.628606,4.696257,2.697772,4.621672,4.966478,2.696971,4.473903,5.086295,2.625503,4.747584,5.097377,2.673655
4.476669,5.125334,2.542799,4.759943,5.13908,2.659509,4.628688,4.696217,2.698242,4.621758,4.966498,2.697186,4.480952,5.086962,2.568118,4.747661,5.097083,2.674167
4.475811,5.128626,2.544363,4.760129,5.13869,2.659872,4.628818,4.696128,2.699287,4.621941,4.966384,2.697442,4.480264,5.086845,2.583804,4.747582,5.096258,2.674914
4.479867,5.123767,2.526022,4.761449,5.141482,2.661144,4.628322,4.696957,2.695004,4.621625,4.966488,2.69653,4.476485,5.084369,2.580451,4.747856,5.097873,2.673348
4.479275,5.124053,2.528323,4.760462,5.140346,2.660116,4.628323,4.696457,2.696292,4.621698,4.96648,2.69665,4.476275,5.086421,2.589772,4.747721,5.097665,2.67348
4.477605,5.124522,2.537349,4.76037,5.140171,2.659997,4.628394,4.696321,2.696775,4.621528,4.966457,2.696541,4.476802,5.08603,2.588307,4.747656,5.097588,2.673538
4.477295,5.12483,2.539035,4.760311,5.139615,2.659427,4.628499,4.696237,2.697206,4.621575,4.966457,2.696615,4.47899,5.085462,2.571581,4.747574,5.097443,2.673593
4.477178,5.124993,2.539564,4.760256,5.139401,2.65938,4.628606,4.696257,2.697772,4.621672,4.966478,2.696971,4.473903,5.086295,2.625503,4.747584,5.097377,2.673655
4.476669,5.125334,2.542799,4.759943,5.13908,2.659509,4.628688,4.696217,2.698242,4.621758,4.966498,2.697186,4.480952,5.086962,2.568118,4.747661,5.097083,2.674167
4.475811,5.128626,2.544363,4.760129,5.13869,2.659872,4.628818,4.696128,2.699287,4.621941,4.966384,2.697442,4.480264,5.086845,2.583804,4.747582,5.096258,2.674914
4.475739,5.127075,2.54861,4.76063,5.138379,2.661154,4.62921,4.69642,2.700311,4.622047,4.966343,2.697675,4.487554,5.082674,2.562101,4.747746,5.095029,2.675919
4.479275,5.124053,2.528323,4.760462,5.140346,2.660116,4.628323,4.696457,2.696292,4.621698,4.96648,2.69665,4.476275,5.086421,2.589772,4.747721,5.097665,2.67348
4.477605,5.124522,2.537349,4.76037,5.140171,2.659997,4.628394,4.696321,2.696775,4.621528,4.966457,2.696541,4.476802,5.08603,2.588307,4.747656,5.097588,2.673538
4.477295,5.12483,2.539035,4.760311,5.139615,2.659427,4.628499,4.696237,2.697206,4.621575,4.966457,2.696615,4.47899,5.085462,2.571581,4.747574,5.097443,2.673593
4.477178,5.124993,2.539564,4.760256,5.139401,2.65938,4.628606,4.696257,2.697772,4.621672,4.966478,2.696971,4.473903,5.086295,2.625503,4.747584,5.097377,2.673655
4.476669,5.125334,2.542799,4.759943,5.13908,2.659509,4.628688,4.696217,2.698242,4.621758,4.966498,2.697186,4.480952,5.086962,2.568118,4.747661,5.097083,2.674167
4.475811,5.128626,2.544363,4.760129,5.13869,2.659872,4.628818,4.696128,2.699287,4.621941,4.966384,2.697442,4.480264,5.086845,2.583804,4.747582,5.096258,2.674914
4.475739,5.127075,2.54861,4.76063,5.138379,2.661154,4.62921,4.69642,2.700311,4.622047,4.966343,2.697675,4.487554,5.082674,2.562101,4.747746,5.095029,2.675919
4.476771,5.126639,2.5469,4.76135,5.138236,2.662154,4.629452,4.696368,2.701026,4.622168,4.966313,2.69781,4.480361,5.083674,2.620662,4.747941,5.094581,2.67643
4.477605,5.124522,2.537349,4.76037,5.140171,2.659997,4.628394,4.696321,2.696775,4.621528,4.966457,2.696541,4.476802,5.08603,2.588307,4.747656,5.097588,2.673538
4.477295,5.12483,2.539035,4.760311,5.139615,2.659427,4.628499,4.696237,2.697206,4.621575,4.966457,2.696615,4.47899,5.085462,2.571581,4.747574,5.097443,2.673593
4.477178,5.124993,2.539564,4.760256,5.139401,2.65938,4.628606,4.696257,2.697772,4.621672,4.966478,2.696971,4.473903,5.086295,2.625503,4.747584,5.097377,2.673655
4.476669,5.125334,2.542799,4.759943,5.13908,2.659509,4.628688,4.696217,2.698242,4.621758,4.966498,2.697186,4.480952,5.086962,2.568118,4.747661,5.097083,2.674167
4.475811,5.128626,2.544363,4.760129,5.13869,2.659872,4.628818,4.696128,2.699287,4.621941,4.966384,2.697442,4.480264,5.086845,2.583804,4.747582,5.096258,2.674914
4.475739,5.127075,2.54861,4.76063,5.138379,2.661154,4.62921,4.69642,2.700311,4.622047,4.966343,2.697675,4.487554,5.082674,2.562101,4.747746,5.095029,2.675919
4.476771,5.126639,2.5469,4.76135,5.138236,2.662154,4.629452,4.696368,2.701026,4.622168,4.966313,2.69781,4.480361,5.083674,2.620662,4.747941,5.094581,2.67643
4.477317,5.126369,2.54646,4.762136,5.138236,2.662867,4.629765,4.695892,2.702197,4.622284,4.966274,2.697933,4.48559,5.082142,2.577894,4.748118,5.094468,2.676744
4.477295,5.12483,2.539035,4.760311,5.139615,2.659427,4.628499,4.696237,2.697206,4.621575,4.966457,2.696615,4.47899,5.085462,2.571581,4.747574,5.097443,2.673593
4.477178,5.124993,2.539564,4.760256,5.139401,2.65938,4.628606,4.696257,2.697772,4.621672,4.966478,2.696971,4.473903,5.086295,2.625503,4.747584,5.097377,2.673655
4.476669,5.125334,2.542799,4.759943,5.13908,2.659509,4.628688,4.696217,2.698242,4.621758,4.966498,2.697186,4.480952,5.086962,2.568118,4.747661,5.097083,2.674167
4.475811,5.128626,2.544363,4.760129,5.13869,2.659872,4.628818,4.696128,2.699287,4.621941,4.966384,2.697442,4.480264,5.086845,2.583804,4.747582,5.096258,2.674914
4.475739,5.127075,2.54861,4.76063,5.138379,2.661154,4.62921,4.69642,2.700311,4.622047,4.966343,2.697675,4.487554,5.082674,2.562101,4.747746,5.095029,2.675919
4.476771,5.126639,2.5469,4.76135,5.138236,2.662154,4.629452,4.696368,2.701026,4.622168,4.966313,2.69781,4.480361,5.083674,2.620662,4.747941,5.094581,2.67643
4.477317,5.126369,2.54646,4.762136,5.138236,2.662867,4.629765,4.695892,2.702197,4.622284,4.966274,2.697933,4.48559,5.082142,2.577894,4.748118,5.094468,2.676744
4.479791,5.125263,2.539474,4.763124,5.138175,2.662116,4.630042,4.695841,2.703079,4.62225,4.966232,2.697957,4.487434,5.081709,2.562287,4.748413,5.094381,2.676431
4.477178,5.124993,2.539564,4.760256,5.139401,2.65938,4.628606,4.696257,2.697772,4.621672,4.966478,2.696971,4.473903,5.086295,2.625503,4.747584,5.097377,2.673655
4.476669,5.125334,2.542799,4.759943,5.13908,2.659509,4.628688,4.696217,2.698242,4.621758,4.966498,2.697186,4.480952,5.086962,2.568118,4.747661,5.097083,2.674167
4.475811,5.128626,2.544363,4.760129,5.13869,2.659872,4.628818,4.696128,2.699287,4.621941,4.966384,2.697442,4.480264,5.086845,2.583804,4.747582,5.096258,2.674914
4.475739,5.127075,2.54861,4.76063,5.138379,2.661154,4.62921,4.69642,2.700311,4.622047,4.966343,2.697675,4.487554,5.082674,2.562101,4.747746,5.095029,2.675919
4.476771,5.126639,2.5469,4.76135,5.138236,2.662154,4.629452,4.696368,2.701026,4.622168,4.966313,2.69781,4.480361,5.083674,2.620662,4.747941,5.094581,2.67643
4.477317,5.126369,2.54646,4.762136,5.138236,2.662867,4.629765,4.695892,2.702197,4.622284,4.966274,2.697933,4.48559,5.082142,2.577894,4.748118,5.094468,2.676744
4.479791,5.125263,2.539474,4.763124,5.138175,2.662116,4.630042,4.695841,2.703079,4.62225,4.966232,2.697957,4.487434,5.081709,2.562287,4.748413,5.094381,2.676431
4.481188,5.124716,2.536161,4.76424,5.136811,2.66013,4.630692,4.696022,2.703834,4.62225,4.966215,2.697965,4.488561,5.082037,2.555061,4.748968,5.093766,2.675581
4.476669,5.125334,2.542799,4.759943,5.13908,2.659509,4.628688,4.696217,2.698242,4.621758,4.966498,2.697186,4.480952,5.086962,2.568118,4.747661,5.097083,2.674167
4.475811,5.128626,2.544363,4.760129,5.13869,2.659872,4.628818,4.696128,2.699287,4.621941,4.966384,2.697442,4.480264,5.086845,2.583804,4.747582,5.096258,2.674914
4.475739,5.127075,2.54861,4.76063,5.138379,2.661154,4.62921,4.69642,2.700311,4.622047,4.966343,2.697675,4.487554,5.082674,2.562101,4.747746,5.095029,2.675919
4.476771,5.126639,2.5469,4.76135,5.138236,2.662154,4.629452,4.696368,2.701026,4.622168,4.966313,2.69781,4.480361,5.083674,2.620662,4.747941,5.094581,2.67643
4.477317,5.126369,2.54646,4.762136,5.138236,2.662867,4.629765,4.695892,2.702197,4.622284,4.966274,2.697933,4.48559,5.082142,2.577894,4.748118,5.094468,2.676744
4.479791,5.125263,2.539474,4.763124,5.138175,2.662116,4.630042,4.695841,2.703079,4.62225,4.966232,2.697957,4.487434,5.081709,2.562287,4.748413,5.094381,2.676431
4.481188,5.124716,2.536161,4.76424,5.136811,2.66013,4.630692,4.696022,2.703834,4.62225,4.966215,2.697965,4.488561,5.082037,2.555061,4.748968,5.093766,2.675581
4.481841,5.124381,2.534714,4.765759,5.134192,2.655672,4.63103,4.696102,2.704175,4.622231,4.966167,2.697941,4.482442,5.084796,2.567584,4.749732,5.09209,2.67354
4.475811,5.128626,2.544363,4.760129,5.13869,2.659872,4.628818,4.696128,2.699287,4.621941,4.966384,2.697442,4.480264,5.086845,2.583804,4.747582,5.096258,2.674914
4.475739,5.127075,2.54861,4.76063,5.138379,2.661154,4.62921,4.69642,2.700311,4.622047,4.966343,2.697675,4.487554,5.082674,2.562101,4.747746,5.095029,2.675919
4.476771,5.126639,2.5469,4.76135,5.138236,2.662154,4.629452,4.696368,2.701026,4.622168,4.966313,2.69781,4.480361,5.083674,2.620662,4.747941,5.094581,2.67643
4.477317,5.126369,2.54646,4.762136,5.138236,2.662867,4.629765,4.695892,2.702197,4.622284,4.966274,2.697933,4.48559,5.082142,2.577894,4.748118,5.094468,2.676744
4.479791,5.125263,2.539474,4.763124,5.138175,2.662116,4.630042,4.695841,2.703079,4.62225,4.966232,2.697957,4.487434,5.081709,2.562287,4.748413,5.094381,2.676431
4.481188,5.124716,2.536161,4.76424,5.136811,2.66013,4.630692,4.696022,2.703834,4.62225,4.966215,2.697965,4.488561,5.082037,2.555061,4.748968,5.093766,2.675581
4.481841,5.124381,2.534714,4.765759,5.134192,2.655672,4.63103,4.696102,2.704175,4.622231,4.966167,2.697941,4.482442,5.084796,2.567584,4.749732,5.09209,2.67354
4.482069,5.124365,2.53534,4.766872,5.131377,2.65047,4.631215,4.696095,2.704296,4.622313,4.966167,2.697855,4.486266,5.081591,2.557805,4.750775,5.090716,2.672076
4.475739,5.127075,2.54861,4.76063,5.138379,2.661154,4.62921,4.69642,2.700311,4.622047,4.966343,2.697675,4.487554,5.082674,2.562101,4.747746,5.095029,2.675919
4.476771,5.126639,2.5469,4.76135,5.138236,2.662154,4.629452,4.696368,2.701026,4.622168,4.966313,2.69781,4.480361,5.083674,2.620662,4.747941,5.094581,2.67643
4.477317,5.126369,2.54646,4.762136,5.138236,2.662867,4.629765,4.695892,2.702197,4.622284,4.966274,2.697933,4.48559,5.082142,2.577894,4.748118,5.094468,2.676744
4.479791,5.125263,2.539474,4.763124,5.138175,2.662116,4.630042,4.695841,2.703079,4.62225,4.966232,2.697957,4.487434,5.081709,2.562287,4.748413,5.094381,2.676431
4.481188,5.124716,2.536161,4.76424,5.136811,2.66013,4.630692,4.696022,2.703834,4.62225,4.966215,2.697965,4.488561,5.082037,2.555061,4.748968,5.093766,2.675581
4.481841,5.124381,2.534714,4.765759,5.134192,2.655672,4.63103,4.696102,2.704175,4.622231,4.966167,2.697941,4.482442,5.084796,2.567584,4.749732,5.09209,2.67354
4.482069,5.124365,2.53534,4.766872,5.131377,2.65047,4.631215,4.696095,2.704296,4.622313,4.966167,2.697855,4.486266,5.081591,2.557805,4.750775,5.090716,2.672076
4.482176,5.124398,2.535756,4.768585,5.129055,2.642852,4.631319,4.696101,2.704406,4.622375,4.966191,2.697834,4.486614,5.08132,2.561129,4.751809,5.089856,2.6691
4.476771,5.126639,2.5469,4.76135,5.138236,2.662154,4.629452,4.696368,2.701026,4.622168,4.966313,2.69781,4.480361,5.083674,2.620662,4.747941,5.094581,2.67643
4.477317,5.126369,2.54646,4.762136,5.138236,2.662867,4.629765,4.695892,2.702197,4.622284,4.966274,2.697933,4.48559,5.082142,2.577894,4.748118,5.094468,2.676744
4.479791,5.125263,2.539474,4.763124,5.138175,2.662116,4.630042,4.695841,2.703079,4.62225,4.966232,2.697957,4.487434,5.081709,2.562287,4.748413,5.094381,2.676431
4.481188,5.124716,2.536161,4.76424,5.136811,2.66013,4.630692,4.696022,2.703834,4.62225,4.966215,2.697965,4.488561,5.082037,2.555061,4.748968,5.093766,2.675581
4.481841,5.124381,2.534714,4.765759,5.134192,2.655672,4.63103,4.696102,2.704175,4.622231,4.966167,2.697941,4.482442,5.084796,2.567584,4.749732,5.09209,2.67354
4.482069,5.124365,2.53534,4.766872,5.131377,2.65047,4.631215,4.696095,2.704296,4.622313,4.966167,2.697855,4.486266,5.081591,2.557805,4.750775,5.090716,2.672076
4.482176,5.124398,2.535756,4.768585,5.129055,2.642852,4.631319,4.696101,2.704406,4.622375,4.966191,2.697834,4.486614,5.08132,2.561129,4.751809,5.089856,2.6691
4.482518,5.123752,2.535293,4.771966,5.126046,2.630969,4.631601,4.696169,2.704931,4.62244,4.966214,2.697659,4.487035,5.081501,2.559002,4.753072,5.086623,2.663826
4.477317,5.126369,2.54646,4.762136,5.138236,2.662867,4.629765,4.695892,2.702197,4.622284,4.966274,2.697933,4.48559,5.082142,2.577894,4.748118,5.094468,2.676744
4.479791,5.125263,2.539474,4.763124,5.138175,2.662116,4.630042,4.695841,2.703079,4.62225,4.966232,2.697957,4.487434,5.081709,2.562287,4.748413,5.094381,2.676431
4.481188,5.124716,2.536161,4.76424,5.136811,2.66013,4.630692,4.696022,2.703834,4.62225,4.966215,2.697965,4.488561,5.082037,2.555061,4.748968,5.093766,2.675581
4.481841,5.124381,2.534714,4.765759,5.134192,2.655672,4.63103,4.696102,2.704175,4.622231,4.966167,2.697941,4.482442,5.084796,2.567584,4.749732,5.09209,2.67354
4.482069,5.124365,2.53534,4.766872,5.131377,2.65047,4.631215,4.696095,2.704296,4.622313,4.966167,2.697855,4.486266,5.081591,2.557805,4.750775,5.090716,2.672076
4.482176,5.124398,2.535756,4.768585,5.129055,2.642852,4.631319,4.696101,2.704406,4.622375,4.966191,2.697834,4.486614,5.08132,2.561129,4.751809,5.089856,2.6691
4.482518,5.123752,2.535293,4.771966,5.126046,2.630969,4.631601,4.696169,2.704931,4.62244,4.966214,2.697659,4.487035,5.081501,2.559002,4.753072,5.086623,2.663826
4.482889,5.123361,2.534301,4.774889,5.124404,2.623528,4.632117,4.696123,2.706061,4.62251,4.96619,2.697611,4.487523,5.081345,2.558057,4.754887,5.08397,2.657164
4.479791,5.125263,2.539474,4.763124,5.138175,2.662116,4.630042,4.695841,2.703079,4.62225,4.966232,2.697957,4.487434,5.081709,2.562287,4.748413,5.094381,2.676431
4.481188,5.124716,2.536161,4.76424,5.136811,2.66013,4.630692,4.696022,2.703834,4.62225,4.966215,2.697965,4.488561,5.082037,2.555061,4.748968,5.093766,2.675581
4.481841,5.124381,2.534714,4.765759,5.134192,2.655672,4.63103,4.696102,2.704175,4.622231,4.966167,2.697941,4.482442,5.084796,2.567584,4.749732,5.09209,2.67354
